카테고리,상품명,가격,상품,상세,열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(mg),콜레스테롤(mg),나트륨(mg),칼슘(g),,,,,,,,,
초콜릿,스니커즈 미니스 초코바 1089g,18020,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/스니커즈 미니스 초코바 1089g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/스니커즈 미니스 초코바 1089g_상세.png,480,62,50,8,22,9,0,10,20,0,,,,,,,,,
초콜릿,킷캣 미니 오리지널 초콜릿 567g 63p,21360,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/킷캣 미니 오리지널 초콜릿 567g 63p_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/킷캣 미니 오리지널 초콜릿 567g 63p_상세.png,45,5.1,4.2,0.8,2.6,1.7,0,1.3,0.8,0,,,,,,,,,
초콜릿,매일 킨더초콜릿 100g 8개입,17020,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/매일 킨더초콜릿 100g 8개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/매일 킨더초콜릿 100g 8개입_상세.png,567,54.4,53.3,8.7,35,22.6,0,35,123,300,,,,,,,,,
초콜릿,오리온 단백질볼 미니 192g 8개입,4780,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 단백질볼 미니 192g 8개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 단백질볼 미니 192g 8개입_상세.png,136,10,6,6,8,4,0,7,40,0,,,,,,,,,
초콜릿,매일 페레로로쉐 62g 5개입,4780,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/매일 페레로로쉐 62g 5개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/매일 페레로로쉐 62g 5개입_상세.png,155,12,10,2,11,3.5,0,0,15,0,,,,,,,,,
초콜릿,엠앤엠즈 피넛초코볼 37g,1280,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/엠앤엠즈 피넛초코볼 37g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/엠앤엠즈 피넛초코볼 37g_상세.png,190,21,19,4,10,3.8,0,2,18,0,,,,,,,,,
초콜릿,해태 자유시간 미니 초콜릿 380g 38p,7980,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 자유시간 미니 초콜릿 380g 38p_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 자유시간 미니 초콜릿 380g 38p_상세.png,45,6,4.4,0.9,2.2,1.1,0.01g 미만,0.9,20,0,,,,,,,,,
시리얼/바,오리온 닥터유 단백질바 미니 202g 14p,3980,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 닥터유 단백질바 미니 202g 14p_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 닥터유 단백질바 미니 202g 14p_상세.png,506,43,20,25,26,8,0,5,210,0,,,,,,,,,
시리얼/바,오리온 닥터유 에너지바 미니 202g,3980,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 닥터유 에너지바 미니 202g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 닥터유 에너지바 미니 202g_상세.png,473,51,37,15,25,7,0,5mg 미만,140,175,,,,,,,,,
시리얼/바,켈로그 크런치넛 에너지바 120g 4개입,3980,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/켈로그 크런치넛 에너지바 120g 4개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/켈로그 크런치넛 에너지바 120g 4개입_상세.png,148,16.9,7.8,3.8,7.2,2.3,0,0,74,0,,,,,,,,,
시리얼/바,퀘이커 마시는 오트밀 귀리미숫가루 낱봉팩 1000g 20p,21980,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는 오트밀 귀리미숫가루 낱봉팩 1000g 20p_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는 오트밀 귀리미숫가루 낱봉팩 1000g 20p_상세.png,200,40,10,4,2.7,0,0,0,140,0,,,,,,,,,
